id,store_id,crawl_store_id,"fw_type","smservername"
561,245133,71,"OLD_FW",NULL
562,245132,69,"OLD_FW",NULL
563,245132,287,"OLD_FW",NULL
564,245132,71,"OLD_FW",NULL
565,245131,69,"OLD_FW",NULL
566,245131,287,"OLD_FW",NULL
567,245131,71,"OLD_FW",NULL
568,643827,69,"OLD_FW",NULL
569,643827,71,"OLD_FW",NULL
570,643827,287,"OLD_FW",NULL
571,650223,69,"OLD_FW",NULL
572,650223,287,"OLD_FW",NULL
573,650223,71,"OLD_FW",NULL
574,643866,69,"OLD_FW",NULL
575,643866,287,"OLD_FW",NULL
576,643866,71,"OLD_FW",NULL
577,245129,69,"OLD_FW",NULL
578,245129,287,"OLD_FW",NULL
579,245129,71,"OLD_FW",NULL
580,245128,69,"OLD_FW",NULL
581,245128,287,"OLD_FW",NULL
582,245128,71,"OLD_FW",NULL
583,245127,69,"OLD_FW",NULL
584,245127,287,"OLD_FW",NULL
585,245127,71,"OLD_FW",NULL
586,245126,69,"OLD_FW",NULL
587,245126,287,"OLD_FW",NULL
588,245126,71,"OLD_FW",NULL
589,240898,69,"OLD_FW",NULL
590,240898,287,"OLD_FW",NULL
591,240898,71,"OLD_FW",NULL
592,239032,69,"OLD_FW",NULL
593,239032,287,"OLD_FW",NULL
594,239032,71,"OLD_FW",NULL
595,239030,69,"OLD_FW",NULL
596,239030,287,"OLD_FW",NULL
597,239030,71,"OLD_FW",NULL
598,239028,69,"OLD_FW",NULL
599,239028,287,"OLD_FW",NULL
600,239028,71,"OLD_FW",NULL
601,239025,69,"OLD_FW",NULL
602,239025,287,"OLD_FW",NULL
603,239025,71,"OLD_FW",NULL
604,239024,69,"OLD_FW",NULL
605,239024,287,"OLD_FW",NULL
606,239024,71,"OLD_FW",NULL
607,213074,69,"OLD_FW",NULL
608,213074,287,"OLD_FW",NULL
609,213074,71,"OLD_FW",NULL
610,294229,69,"OLD_FW",NULL
611,294229,287,"OLD_FW",NULL
612,294229,71,"OLD_FW",NULL
613,213073,69,"OLD_FW",NULL
614,213073,287,"OLD_FW",NULL
615,213073,287,"OLD_FW",NULL
616,213073,71,"OLD_FW",NULL
617,650863,69,"OLD_FW",NULL
618,650863,287,"OLD_FW",NULL
619,650863,71,"OLD_FW",NULL
620,172044,69,"OLD_FW",NULL
621,172044,287,"OLD_FW",NULL
622,172044,71,"OLD_FW",NULL
623,173836,69,"OLD_FW",NULL
624,173836,287,"OLD_FW",NULL
625,173836,71,"OLD_FW",NULL
626,182953,69,"OLD_FW",NULL
627,182953,287,"OLD_FW",NULL
628,182953,71,"OLD_FW",NULL
629,163286,69,"OLD_FW",NULL
630,163286,287,"OLD_FW",NULL
631,163286,71,"OLD_FW",NULL
632,856476,16,"OLD_FW",NULL
633,898778,43,"OLD_FW",NULL
634,898779,241,"OLD_FW",NULL
635,898775,37,"OLD_FW",NULL
636,898773,33,"OLD_FW",NULL
637,898773,36,"OLD_FW",NULL
638,226364,16,"OLD_FW",NULL
639,226364,74,"OLD_FW",NULL
640,226364,75,"OLD_FW",NULL
641,226364,76,"OLD_FW",NULL
642,226364,77,"OLD_FW",NULL
643,226364,78,"OLD_FW",NULL
645,916459,74,"OLD_FW",NULL
646,916459,75,"OLD_FW",NULL
647,916459,76,"OLD_FW",NULL
648,916459,77,"OLD_FW",NULL
649,916459,78,"OLD_FW",NULL
650,919113,79,"OLD_FW",NULL
651,919113,80,"OLD_FW",NULL
652,919113,81,"OLD_FW",NULL
653,919113,82,"OLD_FW",NULL
654,919113,83,"OLD_FW",NULL
655,919183,79,"OLD_FW",NULL
656,919183,80,"OLD_FW",NULL
657,919183,81,"OLD_FW",NULL
658,919183,82,"OLD_FW",NULL
659,919183,83,"OLD_FW",NULL
660,919187,33,"OLD_FW",NULL
661,919187,81,"OLD_FW",NULL
662,919187,82,"OLD_FW",NULL
663,919116,33,"OLD_FW",NULL
664,919116,81,"OLD_FW",NULL
665,919116,82,"OLD_FW",NULL
666,919198,81,"OLD_FW",NULL
667,919198,82,"OLD_FW",NULL
668,919198,84,"OLD_FW",NULL
669,919121,81,"OLD_FW",NULL
670,919121,82,"OLD_FW",NULL
671,919121,84,"OLD_FW",NULL
672,919189,81,"OLD_FW",NULL
673,919189,82,"OLD_FW",NULL
674,919115,81,"OLD_FW",NULL
675,919115,82,"OLD_FW",NULL
676,919191,81,"OLD_FW",NULL
677,919191,82,"OLD_FW",NULL
678,919191,85,"OLD_FW",NULL
679,919114,81,"OLD_FW",NULL
680,919114,82,"OLD_FW",NULL
681,919114,85,"OLD_FW",NULL
683,949210,73,"OLD_FW",NULL
685,597412,20,"OLD_FW",NULL
687,887332,72,"OLD_FW",NULL
688,887332,73,"OLD_FW",NULL
689,991207,-27,"OLD_FW",NULL
690,991207,32,"OLD_FW",NULL
691,991207,46,"OLD_FW",NULL
692,991207,76,"OLD_FW",NULL
693,952698,59,"OLD_FW",NULL
701,997949,-27,"OLD_FW",NULL
702,997949,32,"OLD_FW",NULL
703,997949,46,"OLD_FW",NULL
704,997949,76,"OLD_FW",NULL
710,805407,93,"OLD_FW",NULL
712,952698,16,"OLD_FW",NULL
713,914978,44,"OLD_FW",NULL
718,1024948,20,"OLD_FW",NULL
722,1041205,103,"OLD_FW",NULL
723,1041205,102,"OLD_FW",NULL
724,1041205,101,"OLD_FW",NULL
725,1041205,100,"OLD_FW",NULL
726,1041205,87,"OLD_FW",NULL
727,1041205,88,"OLD_FW",NULL
728,1041205,89,"OLD_FW",NULL
729,1041205,92,"OLD_FW",NULL
730,1041661,20,"OLD_FW",NULL
732,1041205,90,"OLD_FW",NULL
738,783737,159,"OLD_FW",NULL
739,699194,159,"OLD_FW",NULL
740,594563,159,"OLD_FW",NULL
741,594564,159,"OLD_FW",NULL
742,594565,159,"OLD_FW",NULL
743,643819,159,"OLD_FW",NULL
752,568045,159,"OLD_FW",NULL
753,449614,159,"OLD_FW",NULL
754,423705,159,"OLD_FW",NULL
755,313379,159,"OLD_FW",NULL
756,313372,159,"OLD_FW",NULL
757,288406,159,"OLD_FW",NULL
758,251725,159,"OLD_FW",NULL
759,245135,159,"OLD_FW",NULL
760,245134,159,"OLD_FW",NULL
761,245133,159,"OLD_FW",NULL
762,245132,159,"OLD_FW",NULL
763,245131,159,"OLD_FW",NULL
764,643827,159,"OLD_FW",NULL
765,650223,159,"OLD_FW",NULL
766,245130,159,"OLD_FW",NULL
767,245129,159,"OLD_FW",NULL
768,245128,159,"OLD_FW",NULL
769,245127,159,"OLD_FW",NULL
770,245126,159,"OLD_FW",NULL
771,240898,159,"OLD_FW",NULL
772,239032,159,"OLD_FW",NULL
773,239030,159,"OLD_FW",NULL
774,239028,159,"OLD_FW",NULL
775,239025,159,"OLD_FW",NULL
776,239024,159,"OLD_FW",NULL
777,213074,159,"OLD_FW",NULL
778,294229,159,"OLD_FW",NULL
779,213073,159,"OLD_FW",NULL
780,650863,159,"OLD_FW",NULL
781,650863,159,"OLD_FW",NULL
782,172044,159,"OLD_FW",NULL
783,173836,159,"OLD_FW",NULL
784,182953,159,"OLD_FW",NULL
785,163286,159,"OLD_FW",NULL
787,848230,16,"OLD_FW",NULL
796,860190,16,"OLD_FW",NULL
797,860190,159,"OLD_FW",NULL
798,1080973,159,"OLD_FW",NULL
799,1080973,16,"OLD_FW",NULL
814,1076439,74,"OLD_FW",NULL
