id,"name","criteria","health","comments"
230,"walmart.ca.notax",NULL,NULL,NULL
231,"staples.com",NULL,NULL,NULL
232,"cdw.com",NULL,NULL,NULL
233,"staples.com.io",NULL,NULL,NULL
235,"grainger.com",NULL,NULL,NULL
236,"shoplet.com",NULL,NULL,NULL
237,"metroswimshop.com",NULL,NULL,NULL
238,"schoolspecialty.com",NULL,NULL,NULL
239,"lowes.com",NULL,NULL,NULL
240,"att.com","url insertion","0000-00-00","uses cart price with shipping"
241,"guenstiger.de.noio",NULL,NULL,NULL
242,"brookstone.com",NULL,NULL,NULL
243,"discountfilterstore.com",NULL,NULL,NULL
244,"gettoolsdirect.com.au",NULL,NULL,NULL
245,"newegg.com",NULL,NULL,NULL
248,"discountfilters.com",NULL,NULL,NULL
249,"costco.ca",NULL,NULL,NULL
250,"buydig.com",NULL,NULL,NULL
251,"ebuyer.com",NULL,NULL,NULL
252,"lenovo.com",NULL,NULL,NULL
253,"hpshopping.ca",NULL,NULL,NULL
254,"newegg.ca",NULL,NULL,NULL
255,"shopping1.hp.com",NULL,NULL,NULL
256,"tradetools.com",NULL,NULL,NULL
257,"store.hp.com",NULL,NULL,NULL
258,"adelaidetools.com.au",NULL,NULL,NULL
259,"ncix.com",NULL,NULL,NULL
260,"tigerdirect.com",NULL,NULL,NULL
261,"masters.com.au",NULL,NULL,NULL
262,"tigerdirect.ca",NULL,NULL,NULL
263,"bizgram.com.sg",NULL,NULL,NULL
264,"waterfilters.net",NULL,NULL,NULL
265,"poolsupplies.com",NULL,NULL,NULL
266,"intheswim.com",NULL,NULL,NULL
267,"overclockers.co.uk",NULL,NULL,NULL
268,"mwave.com.au",NULL,NULL,NULL
269,"amazon.co.uk",NULL,NULL,NULL
270,"waterfiltersfastcom",NULL,NULL,NULL
271,"iherbcomnoio",NULL,NULL,NULL
272,"shop.hobbylobby.com",NULL,NULL,NULL
273,"store.scrapbook.com",NULL,NULL,NULL
274,"dickblick.com",NULL,NULL,NULL
275,"deserres.com",NULL,NULL,NULL
276,"masterscomau3380",NULL,NULL,NULL
277,"jerrysartarama.com",NULL,NULL,NULL
278,"partycity.com",NULL,NULL,NULL
279,"cdw.ca",NULL,NULL,NULL
280,"cpooutletscom_noio",NULL,NULL,NULL
281,"zalandofr_noio",NULL,NULL,NULL
282,"canadiantire.ca",NULL,NULL,NULL
283,"parfuemeriepieperde",NULL,NULL,NULL
284,"flipkart.com",NULL,NULL,NULL
285,"staples.co.uk",NULL,NULL,NULL
286,"tesco.com",NULL,NULL,NULL
287,"target.com",NULL,NULL,NULL
288,"amazon.ca.listprice",NULL,NULL,NULL
289,"homedepot.canotax",NULL,NULL,NULL
290,"walmartcanotaxurl",NULL,NULL,NULL
291,"kaspersky.co.uk",NULL,NULL,NULL
292,"summitonline.com",NULL,NULL,NULL
293,"6pm.com",NULL,NULL,NULL
294,"unitedtoolsclayton.com.au",NULL,NULL,NULL
297,"amazoncom_uom",NULL,NULL,NULL
298,"tacticalgear.com",NULL,NULL,NULL
299,"lamoda.ru",NULL,NULL,NULL
300,"opticsplanet.com",NULL,NULL,NULL
301,"lapolicegear.com",NULL,NULL,NULL
302,"linio.com.mx_bm",NULL,NULL,NULL
303,"galls.com",NULL,NULL,NULL
304,"chiefsupply.com",NULL,NULL,NULL
305,"idealo.de_condition",NULL,NULL,NULL
306,"amazon.com.external.retailers","","0000-00-00",""
307,"amazon.it","","0000-00-00",""
308,"joann.com",NULL,NULL,NULL
309,"inlinewarehouse.com",NULL,NULL,NULL
310,"walmart.com_total",NULL,NULL,NULL
313,"electronicsexpocom",NULL,NULL,NULL
315,"microcenter.com","","0000-00-00",""
316,"cyclegear.com","","0000-00-00",""
317,"garageskateshop.com","","0000-00-00",""
318,"dijitalFix.com","","0000-00-00",""
319,"citysports.com","","0000-00-00",""
320,"dickblick.com","","0000-00-00",""
326,"turntablelab.com",NULL,NULL,NULL
327,"Scraper_fye.com",NULL,NULL,NULL
328,"toysrus.com",NULL,NULL,NULL
329,"tillys.com",NULL,NULL,NULL
330,"activerideshop.com",NULL,NULL,NULL
331,"huppins.com",NULL,NULL,NULL
332,"sundiego.com",NULL,NULL,NULL
333,"onecall.com",NULL,NULL,NULL
334,"tactics.com",NULL,NULL,NULL
335,"lightsnholsters.com",NULL,NULL,NULL
336,"jans.com",NULL,NULL,NULL
337,"thehouse.com",NULL,NULL,NULL
338,"jackssurfboards.com",NULL,NULL,NULL
339,"sportsauthority.com",NULL,NULL,NULL
340,"booksamillion.com",NULL,NULL,NULL
341,"buckmans.com",NULL,NULL,NULL
342,"danscomp.com",NULL,NULL,NULL
343,"cricketwireless.com",NULL,NULL,NULL
344,"amazon.com.mx",NULL,NULL,NULL
345,"horseloverz.com","","0000-00-00",""
346,"hayneedle.com","","0000-00-00",""
351,"bestbuy.com_gogo",NULL,NULL,NULL
353,"halloweencostumes.com",NULL,NULL,NULL
354,"buycostumes.com",NULL,NULL,NULL
355,"turntablelab.com",NULL,NULL,NULL
356,"Scraper_fye.com",NULL,NULL,NULL
357,"toysrus.com",NULL,NULL,NULL
358,"tillys.com",NULL,NULL,NULL
359,"activerideshop.com",NULL,NULL,NULL
360,"huppins.com",NULL,NULL,NULL
361,"sundiego.com",NULL,NULL,NULL
362,"onecall.com",NULL,NULL,NULL
363,"tactics.com",NULL,NULL,NULL
364,"lightsnholsters.com",NULL,NULL,NULL
365,"jans.com",NULL,NULL,NULL
366,"thehouse.com",NULL,NULL,NULL
367,"jackssurfboards.com",NULL,NULL,NULL
368,"sportsauthority.com",NULL,NULL,NULL
369,"booksamillion.com",NULL,NULL,NULL
370,"buckmans.com",NULL,NULL,NULL
371,"danscomp.com",NULL,NULL,NULL
372,"cricketwireless.com",NULL,NULL,NULL
373,"amazon.com.mx",NULL,NULL,NULL
374,"abt.com",NULL,NULL,NULL
376,"bestbuy.com_gogo",NULL,NULL,NULL
377,"blackdiamondsports.com",NULL,NULL,NULL
378,"buycostumes.com",NULL,NULL,NULL
379,"clivecoffee.com",NULL,NULL,NULL
381,"espressoparts.com",NULL,NULL,NULL
382,"hayneedle.com",NULL,NULL,NULL
383,"horseloverz.com",NULL,NULL,NULL
384,"hotelrestaurantsupply.com",NULL,NULL,NULL
385,"killerdana.com",NULL,NULL,NULL
386,"kitchenrestock.com",NULL,NULL,NULL
389,"partstown.com",NULL,NULL,NULL
390,"partycity.com_simple",NULL,NULL,NULL
391,"pcrichard.com",NULL,NULL,NULL
393,"radioshack.com",NULL,NULL,NULL
395,"rockymountainatvmc.com",NULL,NULL,NULL
396,"screwfix.com_incvat",NULL,NULL,NULL
397,"seattlecoffeegear.com",NULL,NULL,NULL
398,"shopccs.com",NULL,NULL,NULL
399,"sportchalet.com",NULL,NULL,NULL
